| Communications | Bhutan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 21,916 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 2.83 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 740,026 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 95.56 (2019 est.) |
| Telecommunication systems: | general assessment: 4G platforms now gaining traction; 4G/WiMAX networks now cover well over half of the country; fixed broadband penetration remains very low, due to theÂ preeminence of the mobile platform; low to moderate growth is expected from this small base with a maturing mobile subscriber market (2020) |
| Telecommunication systems: | domestic: 3 to 100 fixed-line, 96 to 100 mobile cellular; domestic service inadequate, notably in rural areas (2019) |
| Telecommunication systems: | international: country code - 975; international telephone and telegraph service via landline and microwave relay through India; satellite earth station - 1 Intelsat |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | state-owned TV station established in 1999; cable TV service offers dozens of Indian and other international channels; first radio station, privately launched in 1973, is now state-owned; 5 private radio stations are currently broadcasting (2012) |
| Internet country code: | .bt |
| Internet users: | total: 368,714 |
| Internet users: | percent of population: 48.11% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 10,802 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2018 est.) |
