| Communications | GREENLAND |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 16,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 28 (July 2015 est.) |
| Telephones - mobile cellular: | total: 61,000 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 106 (July 2015 est.) |
| Telephone system: | general assessment: adequate domestic and international service provided by satellite, cables, and microwave radio relay; totally digital since 1995 |
| Telephone system: | domestic: microwave radio relay and satellite; the fundamental telecommunications infrastructure consists of a digital radio link from Nanortalik in south Greenland to Uummannaq in north Greenland; satellites cover north and east Greenland for domestic and foreign telecommunications; a marine cable connects south and west Greenland to the rest of the world, extending from Nuuk and Qaqortoq to Canada and Iceland |
| Telephone system: | international: country code - 299; satellite earth stations - 15 (12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean)) (2015) |
| Broadcast media: | the Greenland Broadcasting Company provides public radio and TV services throughout the island with a broadcast station and a series of repeaters; a few private local TV and radio stations; Danish public radio rebroadcasts are available (2015) |
| Internet country code: | .gl |
| Internet users: | total: 39,000 |
| Internet users: | percent of population: 67.6% (July 2015 est.) |
