| Communications | Greenland |
| --- | --- |
| Telephones - main lines in use: | 21,800 (2010) |
| Telephones - mobile cellular: | 57,300 (2010) |
| Telephone system: | general assessment: adequate domestic and international service provided by satellite, cables and microwave radio relay; totally digital since 1995 |
| Telephone system: | domestic: microwave radio relay and satellite |
| Telephone system: | international: country code - 299; satellite earth stations - 15 (12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean)) (2000) |
| Broadcast media: | the Greenland Broadcasting Company provides public radio and television services throughout the island with a broadcast station and a series of repeaters; a few private local television and radio stations broadcast; Danish public radio rebroadcasts are available (2007) |
| Internet country code: | .gl |
| Internet hosts: | 15,668 (2010) |
| Internet users: | 36,000 (2009) |
