| Communications | Wallis and Futuna |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 4,012 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 25.38 (2019 est.) |
| Telecommunication systems: | general assessment: 2G widespread; bandwidth is limited; mobile subscriber numbers are higher than fixed-line and better suited for islands; good mobile coverage in the capital cities and also reasonable coverage across more remote atolls; recent international interest in infrastructure development; increase in demand for mobile broadband as mobile services serve as primary source for Internet access; Kacific-1 broadband satellite launched in 2019 to improve costs and capability (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity 25 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 681; landing point for the Tui-Samoa submarine cable network connecting Wallis & Futuna, Samoa and Fiji (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | the publicly owned French Overseas Network (RFO), which broadcasts to France's overseas departments, collectivities, and territories, is carried on the RFO Wallis and Fortuna TV and radio stations (2019) |
| Internet country code: | .wf |
| Internet users: | total: 3,450 |
| Internet users: | percent of population: 22.1% (July 2016 est.) |
