| Communications | Saint Lucia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 33,285 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 20.05 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 168,797 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101.68 (2019 est.) |
| Telecommunication systems: | general assessment: an adequate system that is automatically switched; good interisland and international connections; broadband access; expanded FttP (Fiber to the Home) and LTE markets; regulatory development; telecom sector contributes to the overall GDP; telecom sector is a growth area (2020) |
| Telecommunication systems: | domestic: fixed-line teledensity is 20 per 100 persons and mobile-cellular teledensity is roughly 102 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 1-758; landing points for the ECFSÂ and Southern Caribbean Fiber submarine cables providing connectivity to numerous Caribbean islands; direct microwave radio relay link with Martinique and Saint Vincent and the Grenadines; tropospheric scatter to Barbados (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 3 privately owned TV stations; 1 public TV station operating on a cable network; multi-channel cable TV service available; a mix of state-owned and privately owned broadcasters operate nearly 25 radio stations including repeater transmission stations |
| Internet country code: | .lc |
| Internet users: | total: 84,112 |
| Internet users: | percent of population: 50.82% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 32,265 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 19 (2018 est.) |
