| Communications | Cambodia |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 56,749 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,684,767 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129.92 (2019 est.) |
| Telecommunication systems: | general assessment: well on its way to rollout 5G services,Â Chinese company Huawei dealing with the infrastructure for the 5G rollout;Â mobile-cellular phone systems are widely used in urban areas to bypass deficiencies in the fixed-line network; mobile-phone coverage is rapidlyÂ spreading in rural areas; competition among mobile operators strong; about 50% of Cambodians own at least one smart phone; in 2018, the MPTC began a free Wi-Fi service for visitors and residents of Phnom Penh, in selected parks around the city customers can access free Wi-Fi services; fixed broadband penetration is predicted to reach over 2% by 2023;Â in 2021, Cambodia hopes to launch it first communications satellite into orbit (2020) |
| Telecommunication systems: | domestic: fixed-line connections stand at about 1 per 100 persons and declining; mobile-cellular usage, aided by competition among service providers, has increased to about 130 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 855; landing points for MCT and AAE-1 via submarine cablesÂ providing communication to Asia, the Middle East, Europe and Africa;Â satellite earth station - 1 Intersputnik (Indian Ocean region) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | mixture of state-owned, joint public-private, and privately owned broadcast media;Â 27 TV broadcast stations with most operating on multiple channels, including 1 state-operated station broadcasting from multiple locations, 11 stations either jointly operated or privately owned with some broadcasting from several locations; multi-channel cable and satellite systems are available (2019);Â 84 radio broadcast stations - 1 state-owned broadcaster with multiple stations and a large mixture of public and private broadcasters;Â one international broadcaster isÂ available (2019) as well as one Chinese joint venture television station with the Ministry of Interior; several television and radio operators broadcast online only (often via Facebook) (2019) |
| Internet country code: | .kh |
| Internet users: | total: 6,579,808 |
| Internet users: | percent of population: 40% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 166,200 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 1 (2018 est.) |
