| Communications | Costa Rica |
| --- | --- |
| Telephones - main lines in use: | 1.438 million (2008) |
| Telephones - mobile cellular: | 1.887 million (2008) |
| Telephone system: | general assessment: good domestic telephone service in terms of breadth of coverage; restricted cellular telephone service; state-run monopoly provider is struggling with the demand for new lines, resulting in long waiting times |
| Telephone system: | domestic: point-to-point and point-to-multi-point microwave, fiber-optic, and coaxial cable link rural areas; Internet service is available |
| Telephone system: | international: country code - 506; landing point for the Americas Region Caribbean Ring System (ARCOS-1) fiber-optic telecommunications submarine cable and the MAYA-1 submarine cable that provide links to South and Central America, parts of the Caribbean, and the US; connected to Central American Microwave System; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2007) |
| Radio broadcast stations: | AM 65, FM 51, shortwave 19 (2002) |
| Television broadcast stations: | 20 (plus 43 repeaters) (2002) |
| Internet country code: | .cr |
| Internet hosts: | 34,066 (2009) |
| Internet users: | 1.46 million (2008) |
