| Communications | UZBEKISTAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,412,921 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (July 2016 est.) |
| Telephones - mobile cellular: | total: 23,265,389 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 79 (July 2016 est.) |
| Telephone system: | general assessment: digital exchanges in large cities and in rural areas |
| Telephone system: | domestic: the state-owned telecommunications company, Uzbektelecom, owner of the fixed-line telecommunications system, has used loans from the Japanese government and the China Development Bank to upgrade fixed-line services including conversion to digital exchanges; mobile-cellular services are provided by three private and two state-owned operators with a total subscriber base of 23 million as of mid-2016 |
| Telephone system: | international: country code - 998; linked by fiber-optic cable or microwave radio relay with CIS member states and to other countries by leased connection via the Moscow international gateway switch; the country also has a link to the Trans-Asia-Europe (TAE) fiber-optic cable; Uzbekistan has supported the national fiber- optic backbone project of Afghanistan since 2008 (2016) |
| Broadcast media: | government controls media; 18 state-owned broadcasters - 14 TV and 4 radio - provide service to virtually the entire country; about 20 privately owned TV stations, overseen by local officials, broadcast to local markets; privately owned TV stations are required to lease transmitters from the government-owned Republic TV and Radio Industry Corporation; in 2013, the government closed TV and radio broadcasters affiliated with the National Association of Electronic Mass Media (NAEMM) of Uzbekistan, a government-sponsored NGO for private broadcast media; in 2015, the NAEMM relaunched its TV channel under a different name (2017) |
| Internet country code: | .uz |
| Internet users: | total: 13,791,083 |
| Internet users: | percent of population: 46.8% (July 2016 est.) |
