| Communications | Sri Lanka |
| --- | --- |
| Telephones - main lines in use: | 3.446 million (2008) |
| Telephones - mobile cellular: | 11.082 million (2008) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country |
| Telephone system: | domestic: national trunk network consists mostly of digital microwave radio relay; fiber-optic links now in use in Colombo area and fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing |
| Telephone system: | international: country code - 94; the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cables provide connectivity to Asia, Australia, Middle East, Europe, US; satellite earth stations - 2 Intelsat (Indian Ocean) |
| Radio broadcast stations: | AM 15, FM 52, shortwave 4 (2007) |
| Television broadcast stations: | 14 (2006) |
| Internet country code: | .lk |
| Internet hosts: | 6,090 (2009) |
| Internet users: | 1.164 million (2008) |
