| Communications | Sri Lanka |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,603,178 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 28,199,083 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 126 (2017 est.) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country; 4G moving to 5G trials; strong growthÂ anticipated as Sri Lanka isÂ lagging behindÂ otherÂ Asian telecoms; increase in mobile broadband penetration (2018) |
| Telephone system: | domestic: fixed-line 12 per 100 and mobile-cellular 126 per 100; national trunk network consists of digital microwave radio relay and fiber-optic links; fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing (2018) |
| Telephone system: | international: country code - 94; landing points for the SeaMeWe -3,-5,Â Â Dhiraagu-SLT Submarine Cable Network, WARF SubmarineÂ Cable, Bharat Lanka Cable SystemÂ and the Bay of Bengal Gateway submarine cables providing connectivity to Asia, Africa, Southeast Asia, Australia, the Middle East, and Europe; satellite earth stations - 2 Intelsat (Indian Ocean) (2019) |
| Broadcast media: | government operates 5 TV channels and 19 radio channels; multi-channel satellite and cable TV subscription services available; 25 private TV stations and about 43 radio stations; 6 non-profit TV stations and 4 radio stations |
| Internet country code: | .lk |
| Internet users: | total: 7,126,540 |
| Internet users: | percent of population: 32.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 1,220,504 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 5 (2017 est.) |
