| Communications | Tonga |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,748 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6.35 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 63,156 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 59.43 (2019 est.) |
| Telecommunication systems: | general assessment: high speed Internet provided by 3 MNOs, has subsequently allowed for better health care services, faster connections for education and growing e-commerce services; in 2018 new 4G LTE network; fixed-line teledensity has dropped given mobile subscriptions; mobile technology dominates given the island's geography; satellite technology is widespread and is important especially in areas away from the city; the launch in 2019 of the Kacific-1 broadband satellite has made broadband more widely available for around 89 remote communities (2020) |
| Telecommunication systems: | domestic: fixed-line 6 per 100 persons and mobile-cellular teledensity 59 telephones per 100; fully automatic switched network (2019) |
| Telecommunication systems: | international: country code - 676; landing point for the Tonga Cable and the TDCE connecting to Fiji and 3 separate Tonga islands; satellite earth station - 1 Intelsat (Pacific Ocean) (2020) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 state-owned TV station and 3 privately owned TV stations; satellite and cable TV services are available; 1 state-owned andÂ 5 privately owned radio stations; Radio Australia broadcasts available via satellite (2019) |
| Internet country code: | .to |
| Internet users: | total: 43,889 |
| Internet users: | percent of population: 41.25% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 2,519 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 2 (2018 est.) |
