| Communications | SRI LANKA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2.7 million |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 12 (2014 est.) |
| Telephones - mobile cellular: | total: 22.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101 (2014 est.) |
| Telephone system: | general assessment: telephone services have improved significantly and are available in most parts of the country |
| Telephone system: | domestic: national trunk network consists mostly of digital microwave radio relay; fiber-optic links now in use in Colombo area and fixed wireless local loops have been installed; competition is strong in mobile cellular systems and mobile cellular subscribership is increasing |
| Telephone system: | international: country code - 94; the SEA-ME-WE-3 and SEA-ME-WE-4 submarine cables provide connectivity to Asia, Australia, Middle East, Europe, US; satellite earth stations - 2 Intelsat (Indian Ocean) (2011) |
| Broadcast media: | government operates 8 TV channels and a radio network; multi-channel satellite and cable TV subscription services available; 35 private TV stations and about 50 radio stations (2012) |
| Radio broadcast stations: | AM 15, FM 52, shortwave 4 (2007) |
| Television broadcast stations: | 12 (2009) |
| Internet country code: | .lk |
| Internet users: | total: 4.4 million |
| Internet users: | percent of population: 19.9% (2014 est.) |
