| Communications | British Virgin Islands |
| --- | --- |
| Telephones - main lines in use: | 12,268 (2012) |
| Telephones - mobile cellular: | 48,700 (2012) |
| Telephone system: | general assessment: good overall telephone service |
| Telephone system: | domestic: fixed line connections exceed 80 per 100 persons and mobile cellular subscribership is roughly 150 per 100 persons |
| Telephone system: | international: country code - 1-284; connected via submarine cable to Bermuda; the East Caribbean Fiber System (ECFS) submarine cable provides connectivity to 13 other islands in the eastern Caribbean (2011) |
| Broadcast media: | 1 private TV station; multi-channel TV is available from cable and satellite subscription services; about a half dozen private radio stations (2007) |
| Internet country code: | .vg |
| Internet hosts: | 505 (2012) |
| Internet users: | 4,000 (2002) |
