| Communications | Burma |
| --- | --- |
| Telephones - main lines in use: | 503,900 (2005) |
| Telephones - mobile cellular: | 214,200 (2006) |
| Telephone system: | general assessment: meets minimum requirements for local and intercity service for business and government |
| Telephone system: | domestic: system barely capable of providing basic service; cellular phone system is grossly underdeveloped with a subscribership base of less than 1 per 100 persons |
| Telephone system: | international: country code - 95; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2007) |
| Radio broadcast stations: | AM 1, FM 2, shortwave 3 (2007) |
| Radios: | 4.2 million (1997) |
| Television broadcast stations: | 4 (2008) |
| Televisions: | 320,000 (2000) |
| Internet country code: | .mm |
| Internet hosts: | 108 (2008) |
| Internet Service Providers (ISPs): | 1 |
| Internet Service Providers (ISPs): | note: as of September 2000, Internet connections were legal only for the government, tourist offices, and a few large businesses (2000) |
| Internet users: | 40,000 (2007) |
