| Communications | Burma |
| --- | --- |
| Telephones - main lines in use: | 812,000 (2009) |
| Telephones - mobile cellular: | 448,000 (2009) |
| Telephone system: | general assessment: meets minimum requirements for local and intercity service for business and government |
| Telephone system: | domestic: system barely capable of providing basic service; mobile-cellular phone system is grossly underdeveloped with a subscribership base of only 1 per 100 persons |
| Telephone system: | international: country code - 95; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; satellite earth stations - 2, Intelsat (Indian Ocean) and ShinSat (2009) |
| Broadcast media: | government controls all domestic broadcast media; 3 state-controlled television stations with 1 of the stations controlled by the armed forces; a fourth TV channel, a pay-TV station, is a joint state-private venture; access to satellite TV is limited with residents required to register and pay a fee for all satellite television receivers; 2 state-controlled domestic radio stations; transmissions of several international broadcasters are available in Burma; the opposition-backed station Democratic Voice of Burma broadcasts into Burma via shortwave (2009) |
| Internet country code: | .mm |
| Internet hosts: | 172 (2010) |
| Internet users: | 110,000 (2009) |
