| Communications | Sudan |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 143,280 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 28,644,139 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 77 (2017 est.) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities; economic climateÂ has not encouraged growth in telecoms, but some investment has been made to build mobile towers and expand LTE services (2018) |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations; teledensity fixed-line less than 1 per 100 and mobile-cellularÂ 77 telephones per 100 persons (2018) |
| Telephone system: | international: country code - 249; landing points for the EASSy, FALCONÂ and SAS-1,-2, fiber-optic submarine cable systems linking Africa, the Middle East, Indian Ocean Islands and Asia; satellite earth stations - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2019) |
| Internet country code: | .sd |
| Internet users: | total: 10,284,260 |
| Internet users: | percent of population: 28% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 31,082 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
