| Communications | SUDAN |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 420,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 27.8 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 78 (2014 est.) |
| Telephone system: | general assessment: well-equipped system by regional standards and being upgraded; cellular communications started in 1996 and have expanded substantially with wide coverage of most major cities |
| Telephone system: | domestic: consists of microwave radio relay, cable, fiber optic, radiotelephone communications, tropospheric scatter, and a domestic satellite system with 14 earth stations |
| Telephone system: | international: country code - 249; linked to the EASSy and FLAG fiber-optic submarine cable systems; satellite earth stations - 1 Intelsat (Atlantic Ocean), 1 Arabsat (2010) |
| Broadcast media: | the Sudanese Government directly controls TV and radio, requiring that both media reflect government policies; TV has a permanent military censor; a private radio station is in operation (2007) |
| Radio broadcast stations: | AM 12, FM 1, shortwave 1 (1998) |
| Television broadcast stations: | 3 (1997) |
| Internet country code: | .sd |
| Internet users: | total: 8.5 million |
| Internet users: | percent of population: 24.0% (2014 est.) |
