| Communications | Nigeria |
| --- | --- |
| Telephones - main lines in use: | 500,000 (2000 est) |
| Telephones - mobile cellular: | 200,000 (2001) |
| Telephone system: | general assessment: an inadequate system, further limited by poor maintenance; major expansion is required and a start has been made |
| Telephone system: | domestic: intercity traffic is carried by coaxial cable, microwave radio relay, a domestic communications satellite system with 19 earth stations, and a coastal submarine cable; mobile cellular facilities and the Internet are available |
| Telephone system: | international: satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean); coaxial submarine cable SAFE (South African Far East) |
| Radio broadcast stations: | AM 83, FM 36, shortwave 11 (2001) |
| Radios: | 23.5 million (1997) |
| Television broadcast stations: | 3 (the government controls 2 of the broadcasting stations and 15 repeater stations) (2002) |
| Televisions: | 6.9 million (1997) |
| Internet country code: | .ng |
| Internet Service Providers (ISPs): | 11 (2000) |
| Internet users: | 100,000 (2000) |
