| Communications | NIGERIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 187,155 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (July 2015 est.) |
| Telephones - mobile cellular: | total: 150.83 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 83 (July 2015 est.) |
| Telephone system: | general assessment: further expansion and modernization of the fixed-line telephone network is needed; network quality remains a problem |
| Telephone system: | domestic: fixed-line subscribership remains only about 1 per 100 persons; mobile-cellular services growing rapidly, in part responding to the shortcomings of the fixed-line network; multiple cellular providers operate nationally with subscribership base over 80 per 100 persons |
| Telephone system: | international: country code - 234; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2015) |
| Broadcast media: | nearly 70 federal government-controlled national and regional TV stations; all 36 states operate TV stations; several private TV stations operational; cable and satellite TV subscription services are available; network of federal government-controlled national, regional, and state radio stations; roughly 40 state government-owned radio stations typically carry their own programs except for news broadcasts; about 20 private radio stations; transmissions of international broadcasters are available (2007) |
| Internet country code: | .ng |
| Internet users: | total: 86.138 million |
| Internet users: | percent of population: 47.4% (July 2015 est.) |
