| Communications | Nigeria |
| --- | --- |
| Telephones - main lines in use: | 1.05 million (2010) |
| Telephones - mobile cellular: | 87.298 million (2010) |
| Telephone system: | general assessment: further expansion and modernization of the fixed-line telephone network is needed; network quality remains a problem |
| Telephone system: | domestic: the addition of a second fixed-line provider in 2002 resulted in faster growth but subscribership remains only about 1 per 100 persons; mobile-cellular services growing rapidly, in part responding to the shortcomings of the fixed-line network; multiple cellular providers operate nationally with subscribership reaching 50 per 100 persons in 2009 |
| Telephone system: | international: country code - 234; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2009) |
| Broadcast media: | nearly 70 federal-government-controlled national and regional TV stations; all 36 states operate TV stations; several private TV stations operational; cable and satellite TV subscription services are available; network of federal-government-controlled national, regional, and state radio stations; roughly 40 state-government-owned radio stations typically carry their own programs except for news broadcasts; about 20 private radio stations also operate; transmissions of international broadcasters are available (2007) |
| Internet country code: | .ng |
| Internet hosts: | 1,378 (2010) |
| Internet users: | 43.989 million (2009) |
