| Communications | Nigeria |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 146,075 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 184,013,243 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 88.18 (2019 est.) |
| Telecommunication systems: | general assessment: one of the larger telecom markets in Africa; most Internet connections are via mobile networks; foreign investment presence, particularly China; market competition; LTE-A technologies available but GSM technology dominate; mobile penetration rate of 123% and 173 million subscribers; unified licensing regime; government committed toÂ expanding broadband penetration; in Q1 2018, the Nigerian Communications Commission approved seven licenses to telecom companies to deploy fiber optic cable in the six geopolitical zones and Lagos; operators invest in base stations to take care of network congestion (2020) |
| Telecommunication systems: | domestic: fixed-line subscribership remains less than 1 per 100 persons; mobile-cellular services growing rapidly, in part responding to the shortcomings of the fixed-line network; multiple cellular providers operate nationally with subscribership base over 88 per 100 persons (2019) |
| Telecommunication systems: | international: country code - 234; landing point for the SAT-3/WASC, NCSCS,Â  MainOne, Glo-1 & 2, ACE, and EquianoÂ fiber-optic submarine cable that provides connectivity to Europe and South and West Africa; satellite earth stations - 3 Intelsat (2 Atlantic Ocean and 1 Indian Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | nearly 70 federal government-controlled national and regional TV stations; all 36 states operate TV stations; several private TV stations operational; cable and satellite TV subscription services are available; network of federal government-controlled national, regional, and state radio stations; roughly 40 state government-owned radio stations typically carry their own programs except for news broadcasts; about 20 private radio stations; transmissions of international broadcasters are available; digital broadcasting migration process completed in three states in 2018 (2019) |
| Internet country code: | .ng |
| Internet users: | total: 85,450,052 |
| Internet users: | percent of population: 42% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 73,965 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2018 est.) |
