| Communications | GABON |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 17,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (2014 est.) |
| Telephones - mobile cellular: | total: 3.6 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 215 (2014 est.) |
| Telephone system: | general assessment: adequate system of cable, microwave radio relay, tropospheric scatter, radiotelephone communication stations, and a domestic satellite system with 12 earth stations |
| Telephone system: | domestic: a growing mobile cellular network with multiple providers is making telephone service more widely available with mobile cellular teledensity exceeding 100 per 100 persons |
| Telephone system: | international: country code - 241; landing point for the SAT-3/WASC fiber-optic submarine cable that provides connectivity to Europe and Asia; satellite earth stations - 3 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | state owns and operates 2 TV stations and 2 radio broadcast stations; a few private radio and TV stations; transmissions of at least 2 international broadcasters are accessible; satellite service subscriptions are available (2007) |
| Radio broadcast stations: | AM 6, FM 7 (plus 11 repeaters), shortwave 4 (2001) |
| Television broadcast stations: | 4 (plus 4 repeaters) (2001) |
| Internet country code: | .ga |
| Internet users: | total: 164,800 |
| Internet users: | percent of population: 9.9% (2014 est.) |
