| Communications | Spain |
| --- | --- |
| Telephones - main lines in use: | 18.583 million (2007) |
| Telephones - mobile cellular: | 48.813 million (2007) |
| Telephone system: | general assessment: well developed, modern facilities; fixed-line teledensity is about 45 per 100 persons |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity is nearly 170 telephones per 100 persons |
| Telephone system: | international: country code - 34; submarine cables provide connectivity to Europe, Middle East, Asia, and US; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean), NA Eutelsat; tropospheric scatter to adjacent countries |
| Radio broadcast stations: | AM 208, FM 715, shortwave 1 (1998) |
| Radios: | 13.1 million (1997) |
| Television broadcast stations: | 224 (plus 2,105 repeaters; includes 11 television broadcast stations and 88 repeaters in the Canary Islands) (1995) |
| Televisions: | 16.2 million (1997) |
| Internet country code: | .es |
| Internet hosts: | 3.264 million (2008) |
| Internet Service Providers (ISPs): | 56 (2000) |
| Internet users: | 19.69 million (2007) |
