| Communications | ESTONIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 370,589 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 29 (July 2016 est.) |
| Telephones - mobile cellular: | total: 1,897,921 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 151 (July 2016 est.) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service with a wide range of high-quality voice, data, and Internet services available |
| Telephone system: | domestic: substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; Internet services are widely available; schools and libraries are connected to the Internet, a large percentage of the population files income tax returns online, and online voting - in local and parliamentary elections - has climbed steadily since first introduced in 2005; 85% of Estonian households have broadband access |
| Telephone system: | international: country code - 372; fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; 2 international switches are located in Tallinn (2016) |
| Broadcast media: | the publicly owned broadcaster, Eesti Rahvusringhaaling (ERR), operates 3 TV channels and 5 radio networks; growing number of private commercial radio stations broadcasting nationally, regionally, and locally; fully transitioned to digital television in 2010; national private TV channels expanding service; a range of channels are aimed at Russian-speaking viewers; in 2016, there were 42 on-demand services available in Estonia, including 19 pay TVOD and SVOD services; roughly 85% of households accessed digital television services (2016) |
| Internet country code: | .ee |
| Internet users: | total: 1,097,921 |
| Internet users: | percent of population: 87.2% (July 2016 est.) |
