| Communications | ESTONIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 387,607 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 31 (July 2015 est.) |
| Telephones - mobile cellular: | total: 1.904 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 150 (July 2015 est.) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service with a wide range of high-quality voice, data, and Internet services available |
| Telephone system: | domestic: substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; Internet services are widely available; schools and libraries are connected to the Internet, a large percentage of the population files income tax returns online, and online voting - in local and parliamentary elections - has climbed steadily since first introduced in 2005 |
| Telephone system: | international: country code - 372; fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; 2 international switches are located in Tallinn (2015) |
| Broadcast media: | the publicly owned broadcaster, Eesti Rahvusringhaaling (ERR), operates 2 TV channels and 5 radio networks; growing number of private commercial radio stations broadcasting nationally, regionally, and locally; fully transitioned to digital television in 2010; national private TV channels expanding service; a range of channels are aimed at Russian-speaking viewers; high penetration rate for cable TV services with more than half of Estonian households connected (2008) |
| Internet country code: | .ee |
| Internet users: | total: 1.119 million |
| Internet users: | percent of population: 88.4% (July 2015 est.) |
