| Communications | Estonia |
| --- | --- |
| Telephones - main lines in use: | 492,800 (2009) |
| Telephones - mobile cellular: | 2.72 million (2009) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service with a wide range of high quality voice, data, and Internet services available |
| Telephone system: | domestic: substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; Internet services are widely available; schools and libraries are connected to the Internet, a large percentage of the population files income-tax returns online, and online voting was used for the first time in the 2005 local elections |
| Telephone system: | international: country code - 372; fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; 2 international switches are located in Tallinn (2008) |
| Broadcast media: | the publicly-owned broadcaster, Eesti Rahvusringhaaling (ERR), operates 2 television channels; national private TV channels expanding service; a range of channels are aimed at Russian-speaking viewers; high penetration rate for cable TV services with more than half of Estonian households connected; publicly-owned broadcaster, ERR, operates 4 radio networks and there are a growing number of private commercial radio stations broadcasting nationally, regionally, and locally (2008) |
| Internet country code: | .ee |
| Internet hosts: | 729,534 (2010) |
| Internet users: | 971,700 (2009) |
