| Communications | Estonia |
| --- | --- |
| Telephones - main lines in use: | 498,100 (2008) |
| Telephones - mobile cellular: | 2.525 million (2008) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service; substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; Internet services are widely available; schools and libraries are connected to the Internet, a large percentage of the population files income-tax returns online, and online voting was used for the first time in the 2005 local elections |
| Telephone system: | domestic: a wide range of high quality voice, data, and Internet services is available throughout the country |
| Telephone system: | international: country code - 372; fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; 2 international switches are located in Tallinn (2008) |
| Radio broadcast stations: | AM 0, FM 32, shortwave 0 (2007) |
| Television broadcast stations: | 4 (2007) |
| Internet country code: | .ee |
| Internet hosts: | 706,449 (2009) |
| Internet users: | 888,100 (2008) |
