| Communications | ESTONIA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 410,000 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 32 (2014 est.) |
| Telephones - mobile cellular: | total: 2.1 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 162 (2014 est.) |
| Telephone system: | general assessment: foreign investment in the form of joint business ventures greatly improved telephone service with a wide range of high-quality voice, data, and Internet services available |
| Telephone system: | domestic: substantial fiber-optic cable systems carry telephone, TV, and radio traffic in the digital mode; Internet services are widely available; schools and libraries are connected to the Internet, a large percentage of the population files income tax returns online, and online voting was used for the first time in the 2005 local elections |
| Telephone system: | international: country code - 372; fiber-optic cables to Finland, Sweden, Latvia, and Russia provide worldwide packet-switched service; 2 international switches are located in Tallinn (2011) |
| Broadcast media: | the publicly owned broadcaster, Eesti Rahvusringhaaling (ERR), operates 2 TV channels and 5 radio networks; growing number of private commercial radio stations broadcasting nationally, regionally, and locally; fully transitioned to digital television in 2010; national private TV channels expanding service; a range of channels are aimed at Russian-speaking viewers; high penetration rate for cable TV services with more than half of Estonian households connected (2008) |
| Radio broadcast stations: | AM 0, FM 34, shortwave 0 (2009) |
| Television broadcast stations: | 15 (2008) |
| Internet country code: | .ee |
| Internet users: | total: 1 million |
| Internet users: | percent of population: 81.6% (2014 est.) |
