| Communications | BRUNEI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 48,200 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 11 (2014 est.) |
| Telephones - mobile cellular: | total: 465,800 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 110 (2014 est.) |
| Telephone system: | general assessment: service throughout the country is good; international service is good to Southeast Asia, Middle East, Western Europe, and the US |
| Telephone system: | domestic: every service available |
| Telephone system: | international: country code - 673; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Asia, the Middle East, and Europe; the Asia-America Gateway submarine cable network provides new links to Asia and the US; satellite earth stations - 2 Intelsat (1 Indian Ocean and 1 Pacific Ocean) (2011) |
| Broadcast media: | state-controlled Radio Television Brunei (RTB) operates 5 channels; 3 Malaysian TV stations are available; foreign TV broadcasts are available via satellite and cable systems; RTB operates 5 radio networks and broadcasts on multiple frequencies; British Forces Broadcast Service (BFBS) provides radio broadcasts on 2 FM stations; some radio broadcast stations from Malaysia are available via repeaters (2009) |
| Radio broadcast stations: | AM 1, FM 2 (transmitting on 18 different frequencies), shortwave 0 (British Forces Broadcasting Service (BFBS) station transmits two FM signals with English and Nepali service) (2006) |
| Television broadcast stations: | 4 (includes 2 UHF stations broadcasting a subscription service) (2006) |
| Internet country code: | .bn |
| Internet users: | total: 277,200 |
| Internet users: | percent of population: 65.6% (2014 est.) |
