| Communications | Fiji |
| --- | --- |
| Telephones - main lines in use: | 129,100 (2008) |
| Telephones - mobile cellular: | 600,000 (2008) |
| Telephone system: | general assessment: modern local, interisland, and international (wire/radio integrated) public and special-purpose telephone, telegraph, and teleprinter facilities; regional radio communications center |
| Telephone system: | domestic: telephone or radio telephone links to almost all inhabited islands; most towns and large villages have automatic telephone exchanges and direct dialing; combined fixed and mobile-cellular density is about 80 per 100 persons |
| Telephone system: | international: country code - 679; access to important cable links between US and Canada as well as between NZ and Australia; satellite earth stations - 2 Inmarsat (Pacific Ocean) (2008) |
| Radio broadcast stations: | AM 13, FM 40, shortwave 0 (1998) |
| Television broadcast stations: | NA |
| Internet country code: | .fj |
| Internet hosts: | 12,747 (2009) |
| Internet users: | 103,000 (2008) |
