| Communications | Fiji |
| --- | --- |
| Telephones - main lines in use: | 112,500 (2005) |
| Telephones - mobile cellular: | 205,000 (2005) |
| Telephone system: | general assessment: modern local, interisland, and international (wire/radio integrated) public and special-purpose telephone, telegraph, and teleprinter facilities; regional radio communications center |
| Telephone system: | domestic: telephone or radio telephone links to almost all inhabited islands; most towns and large villages have automatic telephone exchanges and direct dialing; combined fixed and mobile-cellular density is about 35 per 100 persons |
| Telephone system: | international: country code - 679; access to important cable links between US and Canada as well as between NZ and Australia; satellite earth stations - 2 Inmarsat (Pacific Ocean) |
| Radio broadcast stations: | AM 13, FM 40, shortwave 0 (1998) |
| Radios: | 541,476 (1999) |
| Television broadcast stations: | NA |
| Televisions: | 88,110 (1999) |
| Internet country code: | .fj |
| Internet hosts: | 12,137 (2007) |
| Internet Service Providers (ISPs): | 2 (2000) |
| Internet users: | 80,000 (2006) |
