| Communications | FIJI |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 74,182 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 8 (July 2016 est.) |
| Telephones - mobile cellular: | total: 927,793 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 101 (July 2016 est.) |
| Telephone system: | general assessment: modern local, interisland, and international (wire/radio integrated) public and special-purpose telephone, telegraph, and teleprinter facilities; regional radio communications center; subject to occasional devastating cyclones |
| Telephone system: | domestic: telephone or radio telephone links to almost all inhabited islands; most towns and large villages have automatic telephone exchanges and direct dialing; combined fixed-line and mobile-cellular teledensity roughly 110 per 100 persons |
| Telephone system: | international: country code - 679; access to important cable links between US and Canada, as well as between NZ and Australia; satellite earth stations - 2 Inmarsat (Pacific Ocean) (2016) |
| Broadcast media: | Fiji TV, a publicly traded company, operates a free-to-air channel, as well as Sky Fiji and Sky Pacific multi-channel pay-TV services; state-owned commercial company, Fiji Broadcasting Corporation, Ltd, operates 6 radio stations - 2 public broadcasters and 4 commercial broadcasters with multiple repeaters; 5 radio stations with repeaters operated by Communications Fiji, Ltd; transmissions of multiple international broadcasters are available (2009) |
| Internet country code: | .fj |
| Internet users: | total: 425,680 |
| Internet users: | percent of population: 46.5% (July 2016 est.) |
