| Communications | CANADA |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 14,987,520 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 42 (July 2016 est.) |
| Telephones - mobile cellular: | total: 30.45 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 86 (July 2016 est.) |
| Telephone system: | general assessment: excellent service provided by modern technology |
| Telephone system: | domestic: comparatively low mobile penetration provides further room for growth; domestic satellite system with about 300 earth stations |
| Telephone system: | international: country code - 1; submarine cables provide links to the US and Europe; satellite earth stations - 7 (5 Intelsat - 4 Atlantic Ocean and 1 Pacific Ocean, and 2 Intersputnik - Atlantic Ocean region) (2016) |
| Broadcast media: | 2 public TV broadcasting networks, 1 in English and 1 in French, each with a large number of network affiliates; several private-commercial networks also with multiple network affiliates; overall, about 150 TV stations; multi-channel satellite and cable systems provide access to a wide range of stations including US stations; mix of public and commercial radio broadcasters with the Canadian Broadcasting Corporation (CBC), the public radio broadcaster, operating 4 radio networks, Radio Canada International, and radio services to indigenous populations in the north; roughly 1,119 licensed radio stations (2016) |
| Internet country code: | .ca |
| Internet users: | total: 31,770,034 |
| Internet users: | percent of population: 89.8% (July 2016 est.) |
