| Communications | Honduras |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 491,107 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 5 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 8,233,499 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 91 (2017 est.) |
| Telephone system: | general assessment: fixed-line connections are increasing but still limited; competition among multiple providers of mobile-cellular services is contributing to a sharp increase in subscribership; demand for broadband need increasing and some investment in network upgrades; mobile penetration below regional average (2016) |
| Telephone system: | domestic: private sub-operators allowed to provide fixed lines in order to expand telephone coverage contributing to a small increase in fixed-line teledensity 5 per 100; mobile-cellular subscribership is roughly 91 per 100 persons (2016) |
| Telephone system: | international: country code - 504; landing point for both the Americas Region Caribbean Ring System (ARCOS-1) and the MAYA-1 fiber-optic submarine cable system that together provide connectivity to South and Central America, parts of the Caribbean, and the US; satellite earth stations - 2 Intelsat (Atlantic Ocean); connected to Central American Microwave System (2016) |
| Broadcast media: | multiple privately owned terrestrial TV networks, supplemented by multiple cable TV networks; Radio Honduras is the lone government-owned radio network; roughly 300 privately owned radio stations (2007) |
| Internet country code: | .hn |
| Internet users: | total: 2,667,978 (July 2016 est.) |
| Internet users: | percent of population: 30% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 232,990 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 3 (2017 est.) |
