| Communications | Greece |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,176,475 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 48 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 12,937,106 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120 (2017 est.) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service; 3 mobile network operators; 2019 5G trials and LTE use; despite rough economic conditions broadband penetration developing (2017) |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands; 48 per 100 for fixed-line and 120 per 100 for mobile-cellular (2017) |
| Telephone system: | international: country code - 30; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Europe, Middle East, and Asia; a number of smaller submarine cables provide connectivity to various parts of Europe, the Middle East, and Cyprus; tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) (2015) |
| Broadcast media: | broadcast media dominated by the private sector; roughly 150 private TV channels, about 10 of which broadcast nationwide; 1 government-owned terrestrial TV channel with national coverage; 3 privately owned satellite channels; multi-channel satellite and cable TV services available; upwards of 1,500 radio stations, all of them privately owned; government-owned broadcaster has 2 national radio stations (2014) |
| Internet country code: | .gr |
| Internet users: | total: 7,443,016 (July 2016 est.) |
| Internet users: | percent of population: 69.1% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,778,263 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 35 (2017 est.) |
