| Communications | GREECE |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,177,090 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 48 (July 2015 est.) |
| Telephones - mobile cellular: | total: 12.682 million |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 118 (July 2015 est.) |
| Telephone system: | general assessment: adequate, modern networks reach all areas; good mobile telephone and international service |
| Telephone system: | domestic: microwave radio relay trunk system; extensive open-wire connections; submarine cable to offshore islands |
| Telephone system: | international: country code - 30; landing point for the SEA-ME-WE-3 optical telecommunications submarine cable that provides links to Europe, Middle East, and Asia; a number of smaller submarine cables provide connectivity to various parts of Europe, the Middle East, and Cyprus; tropospheric scatter; satellite earth stations - 4 (2 Intelsat - 1 Atlantic Ocean and 1 Indian Ocean, 1 Eutelsat, and 1 Inmarsat - Indian Ocean region) (2015) |
| Broadcast media: | Broadcast media dominated by the private sector; roughly 150 private TV channels, about ten of which broadcast nationwide; 1 government-owned terrestrial TV channel with national coverage; 3 privately owned satellite channels; multi-channel satellite and cable TV services available; upwards of 1,500 radio stations, all of them privately owned; government-owned broadcaster has 2 national radio stations (2014) |
| Internet country code: | .gr |
| Internet users: | total: 7.202 million |
| Internet users: | percent of population: 66.8% (July 2015 est.) |
