| Communications | China |
| --- | --- |
| Telephones - main lines in use: | 365.6 million (2007) |
| Telephones - mobile cellular: | 634 million (2008) |
| Telephone system: | general assessment: domestic and international services are increasingly available for private use; unevenly distributed domestic system serves principal cities, industrial centers, and many towns; China continues to develop its telecommunications infrastructure, and is partnering with foreign providers to expand its global reach; China in the summer of 2008 began a major restructuring of its telecommunications industry, resulting in the consolidation of its six telecom service operators to three, China Telecom, China Mobile and China Unicom, each providing both fixed-line and mobile services |
| Telephone system: | domestic: interprovincial fiber-optic trunk lines and cellular telephone systems have been installed; mobile-cellular subscribership is increasing rapidly; the number of Internet users exceeded 250 million by summer 2008; a domestic satellite system with 55 earth stations is in place |
| Telephone system: | international: country code - 86; a number of submarine cables provide connectivity to Asia, the Middle East, Europe, and the US; satellite earth stations - 7 (5 Intelsat - 4 Pacific Ocean and 1 Indian Ocean; 1 Intersputnik - Indian Ocean region; and 1 Inmarsat - Pacific and Indian Ocean regions) (2008) |
| Radio broadcast stations: | AM 369, FM 259, shortwave 45 (1998) |
| Television broadcast stations: | 3,240 (of which 209 are operated by China Central Television, 31 are provincial TV stations, and nearly 3,000 are local city stations) (1997) |
| Internet country code: | .cn |
| Internet hosts: | 14.156 million (2009) |
| Internet users: | 298 million (2008) |
