| Communications | China |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 185,097,221 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 13.32 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,672,545,161 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 120.36 (2019 est.) |
| Telecommunication systems: | general assessment: the largest Internet market in the world, with the majority, 98.6% of users accessing the Internet through mobile devices; moderate growth is predicted over the next five years in the fixed broadband segment; one of the biggest drivers of commercial growth is its increasing urbanization rate as rural residents move to cities; China will be the world's largest 5G market; the Chinese mobile market to reach penetration of 134% by 2024; maintains the largest M2M market in the world (2020) |
| Telecommunication systems: | domestic: 13 per 100 fixed line and 120 per 100 mobile-cellular; a domestic satellite system with several earth stations has been in place since 2018 (2019) |
| Telecommunication systems: | international: country code - 86;Â landing points for the RJCN, EAC-C2C, TPE, APCN-2, APG, NCP, TEA, SeaMeWe-3, SJC2, Taiwan Strait Express-1, AAE-1, APCN-2, AAG, FEA, FLAG and TSEÂ submarine cables providing connectivity to Asia, the Middle East, Europe, and the US; satellite earth stations - 7 (5 Intelsat - 4 Pacific Ocean and 1 Indian Ocean; 1 Intersputnik - Indian Ocean region; and 1 Inmarsat - Pacific and Indian Ocean regions) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | all broadcast media are owned by, or affiliated with, the Communist Party of China or a government agency; no privately owned TV or radio stations; state-run Chinese Central TV, provincial, and municipal stations offer more than 2,000 channels; the Central Propaganda Department sends directives to all domestic media outlets to guide its reporting with the government maintaining authority to approve all programming; foreign-made TV programs must be approved prior to broadcast; increasingly, Chinese turn to online and satellite television to access Chinese and international films and television shows (2019) |
| Internet country code: | .cn |
| Internet users: | total: 751,886,119 |
| Internet users: | percent of population: 54.3% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 407.382 million |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 29 (2018 est.) |
