| Communications | Micronesia, Federated States of |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,420 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6.23 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 21,374 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 20.74 (2019 est.) |
| Telecommunication systems: | general assessment: adequate system, the demand for mobile broadband is increasing due to mobile services being the primary and most wide-spread source for Internet access across the region (2020) |
| Telecommunication systems: | domestic: islands interconnected by shortwave radiotelephone, satellite (Intelsat) ground stations, and some coaxial and fiber-optic cable; mobile-cellular service available on the major islands; fixed line teledensity 6 per 100 and mobile-cellular 21 per 100 (2019) |
| Telecommunication systems: | international: country code - 691; landing points for the Chuukk-Pohnpei Cable and HANTRU-1 submarine cable system linking the Federated States of Micronesia and the US;Â satellite earth stations - 5 Intelsat (Pacific Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | no TV broadcast stations; each state has a multi-channel cable service with TV transmissions carrying roughly 95% imported programming and 5% local programming; about a half-dozen radio stations (2009) |
| Internet country code: | .fm |
| Internet users: | total: 36,586 |
| Internet users: | percent of population: 35.3% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,776 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 4 (2017 est.) |
