| Communications | MICRONESIA, FEDERATED STATES OF |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 6,808 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 6 (July 2016 est.) |
| Telephones - mobile cellular: | total: 31,400 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 30 (July 2016 est.) |
| Telephone system: | general assessment: adequate system |
| Telephone system: | domestic: islands interconnected by shortwave radiotelephone (used mostly for government purposes), satellite (Intelsat) ground stations, and some coaxial and fiber-optic cable; mobile-cellular service available on the major islands |
| Telephone system: | international: country code - 691; satellite earth stations - 5 Intelsat (Pacific Ocean); in 2015, Fiber Optic was launched and is the primary communication path to the outside world (2016) |
| Broadcast media: | no TV broadcast stations; each state has a multi-channel cable service with TV transmissions carrying roughly 95% imported programming and 5% local programming; about a half-dozen radio stations (2009) |
| Internet country code: | .fm |
| Internet users: | total: 33,000 |
| Internet users: | percent of population: 31.5% (July 2016 est.) |
