| Communications |
| --- | --- |
| Telephones - main lines in use: | 25,617 (end 1999) |
| Telephones - mobile cellular: | 12,676 (end 1999) |
| Telephone system: | general assessment: adequate domestic and international service provided by satellite, cables and microwave radio relay; totally digitalized in 1995 |
| Telephone system: | domestic: microwave radio relay and satellite |
| Telephone system: | international: satellite earth stations - 12 Intelsat, 1 Eutelsat, 2 Americom GE-2 (all Atlantic Ocean) |
| Radio broadcast stations: | AM 5, FM 12, shortwave 0 (1998) |
| Radios: | 30,000 (1998 est.) |
| Television broadcast stations: | 1 publicly-owned station, some local low-power stations, and three AFRTS (US Air Force) stations (1997) |
| Televisions: | 30,000 (1998 est.) |
| Internet country code: | .gl |
| Internet Service Providers (ISPs): | 1 (2000) |
| Internet users: | 4,008 (1999) |
