| Communications | Argentina |
| --- | --- |
| Telephones - main lines in use: | 9.631 million (2008) |
| Telephones - mobile cellular: | 46.509 million (2008) |
| Telephone system: | general assessment: by opening the telecommunications market to competition and foreign investment with the "Telecommunications Liberalization Plan of 1998," Argentina encouraged the growth of modern telecommunications technology; fiber-optic cable trunk lines are being installed between all major cities; major networks are entirely digital and the availability of telephone service is improving; fixed-line telephone density is gradually increasing reaching nearly 25 lines per 100 people in 2008; mobile telephone subscribership has been increasing rapidly and has reached a level of 115 telephones per 100 persons |
| Telephone system: | domestic: microwave radio relay, fiber-optic cable, and a domestic satellite system with 40 earth stations serve the trunk network; mobile telephone use is rapidly expanding; broadband services are gaining ground |
| Telephone system: | international: country code - 54; landing point for the Atlantis-2, UNISUR, and South America-1 optical submarine cable systems that provide links to Europe, Africa, South and Central America, and US; satellite earth stations - 112; 2 international gateways near Buenos Aires (2008) |
| Radio broadcast stations: | AM 260, FM (probably more than 1,000, mostly unlicensed), shortwave 6 (1998) |
| Television broadcast stations: | 42 (plus 444 repeaters) (1997) |
| Internet country code: | .ar |
| Internet hosts: | 4.906 million (2009) |
| Internet users: | 11.212 million (2008) |
