| Communications |
| --- | --- |
| Telephones - main lines in use: | 4 million (3,600,000 analog main lines plus 400,000 ISDN or Integrated Services Digital Network connections) (1999) |
| Telephones - mobile cellular: | 4.5 million (2000) |
| Telephone system: | general assessment: highly developed and efficient |
| Telephone system: | domestic: there are 48 main lines for every 100 persons and the system is nearly 100% digital; the fiber optic net is very extensive; all telephone applications and Internet services are available |
| Telephone system: | international: satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 2 Eutelsat (1999) |
| Radio broadcast stations: | AM 1, FM 61 (plus several hundred repeaters), shortwave 1 (1998) |
| Radios: | 6.08 million (1997) |
| Television broadcast stations: | 45 (plus 960 repeaters) (1995) |
| Televisions: | 4.25 million (1997) |
| Internet country code: | .at |
| Internet Service Providers (ISPs): | 37 (2000) |
| Internet users: | 2.6 million (2000) |
