| Communications | Austria |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,762,801 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 43 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 14,924,340 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 170 (2017 est.) |
| Telephone system: | general assessment: mobile-cellular subscribership is everywhere; cable networks are very extensive, the fiber-optic net is being developed; all telephone applications and Internet services are accessible; broadband is available in all large municipalities; regulatory measures have pomotedÂ the reality of 5G use for 2020 (2017) |
| Telephone system: | domestic: highly developed and efficient; 43 per 100 fixed-line, 170 per 100 mobile-cellular; (2017) |
| Telephone system: | international: country code - 43; earth stations available in the Astra, Intelsat, Eutelsat satellite systems (2018) |
| Broadcast media: | worldwide cable and satellite TV are available; the public incumbent ORF competes with three other major, several regional domestic, and up to 400 international TV stations; TV coverage is in principle 100%, but only 90% use broadcast media; Internet streaming not only complements, but increasingly replaces regular TV stations (2018) |
| Internet country code: | .at |
| Internet users: | total: 7,346,055 (July 2016 est.) |
| Internet users: | percent of population: 84.3% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 2,511,200 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 29 (2017 est.) |
| Communications - note: | the Austrian National Library contains important collections of the Imperial Library of the Holy Roman Empire and of the Austrian Empire, as well as of the Austrian Republic; among its more than 12 million items are outstanding holdings of rare books, maps, globes, papyrus, and music; its Globe Museum is the only one in the world |
