| Communications | Eswatini |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 40,003 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 3.65 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 1,025,061 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 93.53 (2019 est.) |
| Telecommunication systems: | general assessment: earlier government monopoly in telecommunications hindered its growth; new regulatory authority established in 2013 has aided expansion inÂ the telecom sector; 2G, 3G, 4G and LTE services (2019) |
| Telecommunication systems: | domestic: Eswatini has 2 mobile-cellular providers; communication infrastructure has a geographic coverage of about 90% and a rising subscriber base; fixed-line stands at 4 per 100 and mobile-cellular teledensity roughly 94 telephones per 100 persons; telephone system consists of carrier-equipped, open-wire lines and low-capacity, microwave radio relay (2019) |
| Telecommunication systems: | international: country code - 268; satellite earth station - 1 Intelsat (Atlantic Ocean) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | 1 state-owned TV station; satellite dishes are able to access South African providers; state-owned radio network with 3 channels; 1 private radio station (2019) |
| Internet country code: | .sz |
| Internet users: | total: 510,984 |
| Internet users: | percent of population: 47% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 7,000 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
