| Communications | Madagascar |
| --- | --- |
| Telephones - main lines in use: | 143,700 (2012) |
| Telephones - mobile cellular: | 8.564 million (2012) |
| Telephone system: | general assessment: system is above average for the region; Antananarivo's main telephone exchange modernized in the late 1990s, but the rest of the analogue-based telephone system is poorly developed |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 40 per 100 persons |
| Telephone system: | international: country code - 261; landing point for the EASSy, SEACOM, and LION fiber-optic submarine cable systems; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Intersputnik - Atlantic Ocean region) (2010) |
| Broadcast media: | state-owned Radio Nationale Malagasy (RNM) and Television Malagasy (TVM) have an extensive national network reach; privately owned radio and TV broadcasters in cities and major towns; state-run radio dominates in rural areas; relays of 2 international broadcasters are available in Antananarivo (2007) |
| Internet country code: | .mg |
| Internet hosts: | 38,392 (2012) |
| Internet users: | 319,900 (2009) |
