| Communications | MADAGASCAR |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 148,585 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 1 (July 2016 est.) |
| Telephones - mobile cellular: | total: 10,411,721 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 43 (July 2016 est.) |
| Telephone system: | general assessment: system is above average for the region; competition among the three mobile service providers has spurred recent growth in the mobile market |
| Telephone system: | domestic: combined fixed-line and mobile-cellular teledensity about 45 per 100 persons |
| Telephone system: | international: country code - 261; landing point for the EASSy, SEACOM, and LION fiber-optic submarine cable systems; satellite earth stations - 2 (1 Intelsat - Indian Ocean, 1 Intersputnik - Atlantic Ocean region) (2016) |
| Broadcast media: | state-owned Radio Nationale Malagasy (RNM) and Television Malagasy (TVM) have an extensive national network reach; privately owned radio and TV broadcasters in cities and major towns; state-run radio dominates in rural areas; relays of 2 international broadcasters are available in Antananarivo (2007) |
| Internet country code: | .mg |
| Internet users: | total: 1,151,563 |
| Internet users: | percent of population: 4.7% (July 2016 est.) |
