| Communications | Zimbabwe |
| --- | --- |
| Telephones - main lines in use: | 212,000 (in addition, there are about 20,000 fixed telephones in wireless local loop connections) (1997) |
| Telephones - mobile cellular: | 111,000 (2001) |
| Telephone system: | general assessment: system was once one of the best in Africa, but now suffers from poor maintenance; more than 100,000 outstanding requests for connection despite an equally large number of installed but unused main lines |
| Telephone system: | domestic: consists of microwave radio relay links, open-wire lines, radiotelephone communication stations, fixed wireless local loop installations, and a substantial mobile cellular network; Internet connection is available in Harare and planned for all major towns and for some of the smaller ones |
| Telephone system: | international: satellite earth stations - 2 Intelsat; two international digital gateway exchanges (in Harare and Gweru) |
| Radio broadcast stations: | AM 7, FM 20 (plus 17 repeater stations), shortwave 1 (1998) |
| Radios: | 1.14 million (1997) |
| Television broadcast stations: | 16 (1997) |
| Televisions: | 370,000 (1997) |
| Internet country code: | .zw |
| Internet Service Providers (ISPs): | 6 (2000) |
| Internet users: | 100,000 (2002) |
