| Communications | Haiti |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 5,703 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 6,486,549 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 61 (2017 est.) |
| Telephone system: | general assessment: telecommunications infrastructure is among the least-developed in Latin America and the Caribbean; domestic cell service is functional (2018) |
| Telephone system: | domestic: fixed-line is less than 1 per 100; mobile-cellular telephone services have expanded greatly in the last decade due to low-cost GSM (Global Systems for Mobile) phones and pay-as-you-go plans; mobile-cellular teledensity is 61 per 100 persons (2018) |
| Telephone system: | international: country code - 509; landing points for the BDSNi and Fibralink submarine cables to 14 points in the Bahamas and Dominican Republic; satellite earth station - 1 Intelsat (Atlantic Ocean) (2019) |
| Broadcast media: | 98 television stations throughout the country, including 1 government-owned; cable TV subscription service available; 850 radio stations (of them, only 346 are licensed), including 1 government-owned; more than 100 community radio stations; over 64 FM stations in Port-au-Prince alone; VOA Creole Service broadcasts daily on 30 affiliate stations |
| Broadcast media: | (2016) |
| Internet country code: | .ht |
| Internet users: | total: 1,282,686 |
| Internet users: | percent of population: 12.2% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 29,900 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: less than 1 (2017 est.) |
