| Communications | Haiti |
| --- | --- |
| Telephones - main lines in use: | 50,000 (2012) |
| Telephones - mobile cellular: | 6.095 million (2012) |
| Telephone system: | general assessment: telecommunications infrastructure is among the least developed in Latin America and the Caribbean; domestic facilities barely adequate; international facilities slightly better |
| Telephone system: | domestic: mobile-cellular telephone services are expanding rapidly due, in part, to the introduction of low-cost GSM phones; mobile-cellular teledensity exceeds 40 per 100 persons |
| Telephone system: | international: country code - 509; satellite earth station - 1 Intelsat (Atlantic Ocean) (2010) |
| Broadcast media: | several TV stations, including 1 government-owned; cable TV subscription service available; government-owned radio network; more than 250 private and community radio stations with about 50 FM stations in Port-au-Prince alone (2007) |
| Internet country code: | .ht |
| Internet hosts: | 555 (2012) |
| Internet users: | 1 million (2009) |
