| Communications | Faroe Islands |
| --- | --- |
| Telephones - main lines in use: | 24,000 (2012) |
| Telephones - mobile cellular: | 61,000 (2012) |
| Telephone system: | general assessment: good international communications; good domestic facilities |
| Telephone system: | domestic: conversion to digital system completed in 1998; both NMT (analog) and GSM (digital) mobile telephone systems are installed |
| Telephone system: | international: country code - 298; satellite earth stations - 1 Orion; 1 fiber-optic submarine cable to the Shetland Islands, linking the Faroe Islands with Denmark and Iceland; fiber-optic submarine cable connection to Canada-Europe cable (2011) |
| Broadcast media: | 1 publicly owned TV station; the Faroese telecommunications company distributes local and international channels through its digital terrestrial network; publicly owned radio station supplemented by 2 privately owned stations broadcasting over multiple frequencies (2008) |
| Internet country code: | .fo |
| Internet hosts: | 7,575 (2012) |
| Internet users: | 37,500 (2009) |
