| Communications | Moldova |
| --- | --- |
| Telephones - main lines in use: | 1.139 million (2009) |
| Telephones - mobile cellular: | 2.785 million (2009) |
| Telephone system: | general assessment: poor service outside Chisinau; some modernization is under way |
| Telephone system: | domestic: depending on location, new subscribers may face long wait for service; multiple private operators of GSM mobile-cellular telephone service are operating; GPRS system is being introduced; a CDMA mobile telephone network began operations in 2007; combined fixed-line and mobile-cellular teledensity 90 per 100 persons |
| Telephone system: | international: country code - 373; service through Romania and Russia via landline; satellite earth stations - at least 3 (Intelsat, Eutelsat, and Intersputnik) (2009) |
| Broadcast media: | state-owned national radio-TV broadcaster operates 2 television and 2 radio stations; a total of nearly 40 terrestrial TV channels and some 50 radio stations are in operation; Russian and Romanian channels also are available (2007) |
| Internet country code: | .md |
| Internet hosts: | 492,181 (2010) |
| Internet users: | 1.333 million (2009) |
