| Communications | Chile |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 3,193,131 (2017 est.) |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 18 (2017 est.) |
| Telephones - mobile cellular: | total subscriptions: 23,013,147 (2017 est.) |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 129 (2017 est.) |
| Telephone system: | general assessment: privatization began in 1988; most advanced telecommunications infrastructure in South America; modern system based on extensive microwave radio relay facilities; although Chile has one of the highest mobile penetration rates in the region, the number of subscribers has fallen due to subscribers ending multiple SIM card use; this downward trend is expected to be halted in 2018 as the availability of LTE networks and services broaden;Â in terms of available broadband speeds the country ranks second highest in South and Central America (2017) |
| Telephone system: | domestic: number of fixed-line connections have stagnated to 18 per 100 in recent years as mobile-cellular usage continues to increase, reaching 130 telephones per 100 persons; domestic satellite system with 3 earth stations (2017) |
| Telephone system: | international: country code - 56; landing points for the Pan American, South America-1, and South American Crossing/Latin America Nautilus submarine cables providing links to the US and to Central and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2016) |
| Broadcast media: | national and local terrestrial TV channels, coupled with extensive cable TV networks; the state-owned Television Nacional de Chile (TVN) network is self-financed through commercial advertising revenues and is not under direct government control; large number of privately owned TV stations; about 250 radio stations (2007) |
| Internet country code: | .cl |
| Internet users: | total: 11,650,840 (July 2016 est.) |
| Internet users: | percent of population: 66% (July 2016 est.) |
| Broadband - fixed subscriptions: | total: 3,058,979 (2017 est.) |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 17 (2017 est.) |
