| Communications | Chile |
| --- | --- |
| Telephones - main lines in use: | 3.276 million (2012) |
| Telephones - mobile cellular: | 24.13 million (2012) |
| Telephone system: | general assessment: privatization began in 1988; most advanced telecommunications infrastructure in South America; modern system based on extensive microwave radio relay facilities; domestic satellite system with 3 earth stations |
| Telephone system: | domestic: number of fixed-line connections have stagnated in recent years as mobile-cellular usage continues to increase, reaching 130 telephones per 100 persons |
| Telephone system: | international: country code - 56; landing points for the Pan American, South America-1, and South American Crossing/Latin America Nautilus submarine cables providing links to the US and to Central and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2011) |
| Broadcast media: | national and local terrestrial TV channels, coupled with extensive cable TV networks; the state-owned Television Nacional de Chile (TVN) network is self financed through commercial advertising revenues and is not under direct government control; large number of privately owned TV stations; about 250 radio stations (2007) |
| Internet country code: | .cl |
| Internet hosts: | 2.152 million (2012) |
| Internet users: | 7.009 million (2009) |
