| Communications | Chile |
| --- | --- |
| Telephones - fixed lines: | total subscriptions: 2,620,195 |
| Telephones - fixed lines: | subscriptions per 100 inhabitants: 14.51 (2019 est.) |
| Telephones - mobile cellular: | total subscriptions: 23,870,679 |
| Telephones - mobile cellular: | subscriptions per 100 inhabitants: 132.19 (2019 est.) |
| Telecommunication systems: | general assessment: most advanced telecommunications infrastructure in South America; although Chile has one of the highest mobile penetration rates in the region, the number of subscribers has fallen due to subscribers ending multiple SIM card use; the country ranks second highest in South and Central America in terms of available broadband speeds; effective competition in the broadband and mobile sectors; LTE infrastructure is extensive but national plan for 5G services awaits spectrum auctions; during the COVID-19 pandemic Chile provided free access to educational content for about 3 million school pupils (2020) |
| Telecommunication systems: | domestic: number of fixed-line connections have stagnated to 15 per 100 in recent years as mobile-cellular usage continues to increase, reaching 132 telephones per 100 persons; domestic satellite system with 3 earth stations (2019) |
| Telecommunication systems: | international: country code - 56; landing points for the Pan-Am, Prat, SAm-1, American Movil-Telxius West Coast Cable, FOS Quellon-Chacabuco, Fibra Optical Austral, SACÂ andÂ Curie submarine cables providing links to the US, CaribbeanÂ and to Central and South America; satellite earth stations - 2 Intelsat (Atlantic Ocean) (2019) |
| Telecommunication systems: | note: the COVID-19 outbreak is negatively impacting telecommunications production and supply chains globally; consumer spending on telecom devices and services has also slowed due to the pandemic's effect on economies worldwide; overall progress towards improvements in all facets of the telecom industry - mobile, fixed-line, broadband, submarine cable and satellite - has moderated |
| Broadcast media: | national and local terrestrial TV channels, coupled with extensive cable TV networks; the state-owned Television Nacional de Chile (TVN) network is self-financed through commercial advertising revenues and is not under direct government control; large number of privately owned TV stations; about 250 radio stations |
| Internet country code: | .cl |
| Internet users: | total: 14,757,868 |
| Internet users: | percent of population: 82.33% (July 2018 est.) |
| Broadband - fixed subscriptions: | total: 3,250,678 |
| Broadband - fixed subscriptions: | subscriptions per 100 inhabitants: 18 (2018 est.) |
