| Communications | Colombia |
| --- | --- |
| Telephones - main lines in use: | 7.127 million (2011) |
| Telephones - mobile cellular: | 46.2 million (2011) |
| Telephone system: | general assessment: modern system in many respects with a nationwide microwave radio relay system, a domestic satellite system with 41 earth stations, and a fiber-optic network linking 50 cities; telecommunications sector liberalized during the 1990s; multiple providers of both fixed-line and mobile-cellular services |
| Telephone system: | domestic: fixed-line connections stand at about 15 per 100 persons; mobile cellular telephone subscribership is 100 per 100 persons; competition among cellular service providers is resulting in falling local and international calling rates and contributing to the steep decline in the market share of fixed line services |
| Telephone system: | international: country code - 57; multiple submarine cable systems provide links to the US, parts of the Caribbean, and Central and South America; satellite earth stations - 10 (6 Intelsat, 1 Inmarsat, 3 fully digitalized international switching centers) (2011) |
| Broadcast media: | combination of state-owned and privately-owned broadcast media provide service; more than 500 radio stations and many national, regional, and local TV stations (2007) |
| Internet country code: | .co |
| Internet hosts: | 4.41 million (2012) |
| Internet users: | 22.538 million (2009) |
